
#---------------------------------------------------------------------------------------------------------
## List of Regions, root logical volumes and cuts. 
## Number of regions = 26
#                 Region,                        LogicalVolume,  Cuts:Gamma, Electron, Positron, Proton, Units
#---------------------------------------------------------------------------------------------------------
 "DefaultRegionForTheWorld" ,                               "OCMS" ,    10 ,     10 ,     10 ,     10 ,   mm
                "ZDCRegion" ,                                "ZDC" ,     1 ,      1 ,      1 ,      1 ,   mm
        "TrackerDeadRegion" ,                            "Tracker" ,     1 ,      1 ,      1 ,      1 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R9BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R9BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R8BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R8BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R7BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R7BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R6BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R6BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R5BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R5BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R4BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R4BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R3BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R3BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R2BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R2BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R1BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer6R1BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer6R12BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer6R12BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer6R11BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer6R11BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer6R10BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer6R10BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R9BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R9BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R8BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R8BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R7BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R7BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R6BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R6BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R5BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R5BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R4BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R4BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R3BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R3BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R2BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R2BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R1BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R1BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R12BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R12BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R11BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R11BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R10BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R10BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R9BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R9BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R8BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R8BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R7BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R7BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R6BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R6BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R5BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R5BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R4BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R4BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R3BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R3BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R2BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R2BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R1BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R1BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R12BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R12BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R11BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R11BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R10BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R10BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R9BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R9BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R8BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R8BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R7BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R7BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R6BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R6BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R5BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R5BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R4BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R4BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R3BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R3BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
