New run! (theta, phi) = 
45	15.7932
1	3336.45	logic-World	Galactic
2	0.103923	HGCalEEAbsorberCopper1	Copper
3	0.311769	HGCalEEAbsorberStainlessSteel1	StainlessSteel
4	0.0519615	HGCalEEAbsorberEpoxy1	Epoxy
5	2.87867	HGCalEEAbsorberLead11	Lead
6	0.0519615	HGCalEEAbsorberEpoxy2	Epoxy
7	0.311769	HGCalEEAbsorberStainlessSteel2	StainlessSteel
8	0.103923	HGCalEEAbsorberCopper2	Copper
9	0.233827	HGCalEEAirGap10Coarse1	Air
10	1.66277	HGCalEEPCB10Coarse1	HGC_G10-FR4
11	3.87633	HGCalEEConnector10Coarse1	HGC_EEConnector
12	1.66277	HGCalEEMotherBoard10Coarse1	HGC_G10-FR4
13	0.0779423	HGCalEEEpoxy10Coarse1	Epoxy
14	0.0519615	HGCalEEWafer10Coarse1	Air
15	0.207846	HGCalEECellSensitiveFull0Coarse1	Silicon
16	0.0519615	HGCalEEWafer10Coarse1	Air
17	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
18	0.275396	HGCalEEKapton10Coarse1	Kapton
19	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
20	1.45492	HGCalEEBasePlate10Coarse1	WCu
21	6.28734	HGCalEECoolingPlate1	Copper
22	1.45492	HGCalEEBasePlate00Coarse1	WCu
23	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
24	0.275396	HGCalEEKapton00Coarse1	Kapton
25	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
26	0.0519615	HGCalEEWafer00Coarse1	Air
27	0.207846	HGCalEECellSensitiveFull1Coarse1	Silicon
28	0.0519615	HGCalEEWafer00Coarse1	Air
29	0.0779423	HGCalEEEpoxy00Coarse1	Epoxy
30	1.66277	HGCalEEMotherBoard00Coarse1	HGC_G10-FR4
31	3.87633	HGCalEEConnector00Coarse1	HGC_EEConnector
32	1.66277	HGCalEEPCB00Coarse1	HGC_G10-FR4
33	0.233827	HGCalEEAirGap00Coarse1	Air
34	0.103923	HGCalEEAbsorberCopper3	Copper
35	0.311769	HGCalEEAbsorberStainlessSteel3	StainlessSteel
36	0.0519615	HGCalEEAbsorberEpoxy3	Epoxy
