New run! (theta, phi) = 
26.5651	6.37937
1	3230.5	logic-World	Galactic
2	0.100623	HGCalEEAbsorberCopper1	Copper
3	0.301869	HGCalEEAbsorberStainlessSteel1	StainlessSteel
4	0.0503115	HGCalEEAbsorberEpoxy1	Epoxy
5	2.78726	HGCalEEAbsorberLead11	Lead
6	0.0503115	HGCalEEAbsorberEpoxy2	Epoxy
7	0.301869	HGCalEEAbsorberStainlessSteel2	StainlessSteel
8	0.100623	HGCalEEAbsorberCopper2	Copper
9	0.226402	HGCalEEAirGap09FineHD3	Air
10	1.60997	HGCalEEPCB09FineHD3	HGC_G10-FR4
11	3.75324	HGCalEEConnector09FineHD3	HGC_EEConnector
12	1.60997	HGCalEEMotherBoard09FineHD3	HGC_G10-FR4
13	0.0754673	HGCalEEEpoxy09FineHD3	Epoxy
14	0.120748	HGCalEECellSensitive09FineHD3	Silicon
15	0.181122	HGCalEESensitive09FineHD3	Silicon
16	0.065405	HGCalEEEpoxyT09FineHD3	Epoxy
17	0.266651	HGCalEEKapton09FineHD3	Kapton
18	0.065405	HGCalEEEpoxyT09FineHD3	Epoxy
19	1.40872	HGCalEEBasePlate09FineHD3	WCu
20	6.0877	HGCalEECoolingPlate1	Copper
21	1.40872	HGCalEEBasePlate01FineHD3	WCu
22	0.065405	HGCalEEEpoxyT01FineHD3	Epoxy
23	0.266651	HGCalEEKapton01FineHD3	Kapton
24	0.065405	HGCalEEEpoxyT01FineHD3	Epoxy
25	0.181122	HGCalEESensitive01FineHD3	Silicon
26	0.120748	HGCalEECellSensitive01FineHD3	Silicon
27	0.0754673	HGCalEEEpoxy01FineHD3	Epoxy
28	1.60997	HGCalEEMotherBoard01FineHD3	HGC_G10-FR4
29	3.75324	HGCalEEConnector01FineHD3	HGC_EEConnector
30	1.60997	HGCalEEPCB01FineHD3	HGC_G10-FR4
31	0.226402	HGCalEEAirGap01FineHD3	Air
32	0.100623	HGCalEEAbsorberCopper3	Copper
33	0.301869	HGCalEEAbsorberStainlessSteel3	StainlessSteel
34	0.0503115	HGCalEEAbsorberEpoxy3	Epoxy
35	5.00097	HGCalEEAbsorberLead21	Lead
36	0.0503115	HGCalEEAbsorberEpoxy4	Epoxy
37	0.301869	HGCalEEAbsorberStainlessSteel4	StainlessSteel
38	0.100623	HGCalEEAbsorberCopper4	Copper
39	0.226402	HGCalEEAirGap09FineHD3	Air
40	1.60997	HGCalEEPCB09FineHD3	HGC_G10-FR4
41	3.75324	HGCalEEConnector09FineHD3	HGC_EEConnector
42	1.60997	HGCalEEMotherBoard09FineHD3	HGC_G10-FR4
43	0.0754673	HGCalEEEpoxy09FineHD3	Epoxy
44	0.120748	HGCalEECellSensitive09FineHD3	Silicon
45	0.181122	HGCalEESensitive09FineHD3	Silicon
46	0.065405	HGCalEEEpoxyT09FineHD3	Epoxy
47	0.266651	HGCalEEKapton09FineHD3	Kapton
48	0.065405	HGCalEEEpoxyT09FineHD3	Epoxy
49	1.40872	HGCalEEBasePlate09FineHD3	WCu
50	6.0877	HGCalEECoolingPlate2	Copper
51	1.40872	HGCalEEBasePlate01FineHD3	WCu
52	0.065405	HGCalEEEpoxyT01FineHD3	Epoxy
